coorte,crediti_totali,crediti_con_voto,voto_medio,ASD,data_ASD,ARC,data_ARC,PRG,data_PRG,ANI,data_ANI,MDL,data_MDL,INGLESE,data_INGLESE,TEST
2013,12,12,25,25,2014-07-17,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,9
2013,48,45,27,28,2014-07-09,0,0000-00-00,26,2014-07-29,30,2014-06-10,22,2014-07-29,0,2014-04-08,16
2013,21,21,22,25,2014-07-17,0,0000-00-00,0,0000-00-00,0,0000-00-00,19,2014-07-30,0,0000-00-00,11
2013,27,24,27,28,2014-09-12,0,0000-00-00,26,2014-07-28,0,0000-00-00,0,0000-00-00,0,2014-09-16,18
2013,24,24,22,26,2014-07-17,0,0000-00-00,0,0000-00-00,18,2014-07-23,0,0000-00-00,0,0000-00-00,16
2013,60,57,29,30,2014-06-13,26,2014-07-24,30,2014-09-03,31,2014-06-27,27,2014-09-09,0,2014-05-06,20
2013,60,57,30,31,2014-06-11,31,2014-06-12,28,2014-09-03,31,2014-06-27,31,2014-06-13,0,2014-03-18,21
2013,24,24,23,21,2014-07-17,0,0000-00-00,0,0000-00-00,24,2014-09-09,0,0000-00-00,0,0000-00-00,5
2013,12,12,24,24,2014-09-12,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,12
2013,12,12,20,20,2014-07-17,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,4
2013,60,57,31,31,2014-07-17,31,2014-09-15,31,2014-06-17,31,2014-06-10,31,2014-07-01,0,2014-03-25,25
2013,57,57,27,28,2014-06-12,28,2014-07-24,26,2014-07-08,30,2014-06-10,23,2014-07-30,0,0000-00-00,18
2013,36,33,22,25,2014-07-17,0,0000-00-00,0,0000-00-00,22,2014-09-16,18,2014-09-11,0,2014-05-27,15
2013,24,24,23,22,2014-09-12,0,0000-00-00,0,0000-00-00,23,2014-06-30,0,0000-00-00,0,0000-00-00,11
2013,24,21,27,30,2014-07-17,0,0000-00-00,0,0000-00-00,0,0000-00-00,24,2014-07-29,0,2014-05-27,14
2013,15,12,27,27,2014-07-17,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2014-05-22,15
2013,45,45,26,26,2014-07-17,0,0000-00-00,25,2014-09-03,27,2014-09-09,25,2014-07-02,0,0000-00-00,13
2013,48,48,26,28,2014-06-11,23,2014-06-12,24,2014-09-03,30,2014-09-09,0,0000-00-00,0,0000-00-00,16
2013,51,48,28,30,2014-07-09,25,2014-07-10,25,2014-06-17,30,2014-09-09,0,0000-00-00,0,2014-04-15,21
2013,27,24,26,22,2014-07-17,0,0000-00-00,0,0000-00-00,30,2014-09-09,0,0000-00-00,0,2014-03-18,8
