Instance_number,coorte,crediti_totali,crediti_con_voto,voto_medio,ASD,data_ASD,ARC,data_ARC,PRG,data_PRG,ANI,data_ANI,MDL,data_MDL,INGLESE,data_INGLESE,TEST,Cluster
0.412698,0.6,0.777778,0.764706,0.692308,0.967742,2014-06-12,0,0000-00-00,0.870968,2014-06-17,0.935484,2014-06-27,0.677419,2014-07-29,0,2014-03-25,0.52,2
0.415873,0.6,0.611111,0.588235,0.384615,0.903226,2014-06-11,0.580645,2014-07-10,0,0000-00-00,0.774194,2014-09-09,0,0000-00-00,0,2014-04-17,0.64,1
0.419048,0.6,0.555556,0.529412,0.230769,0.645161,2014-07-17,0,0000-00-00,0,0000-00-00,0.83871,2014-09-09,0.580645,2014-07-03,0,2014-09-16,0.6,1
0.422222,0.6,0.111111,0.117647,0.538462,0.806452,2014-07-17,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.36,1
0.425397,0.6,0.777778,0.764706,0.692308,0.903226,2014-07-09,0,0000-00-00,0.83871,2014-07-29,0.967742,2014-06-10,0.709677,2014-07-29,0,2014-04-08,0.64,2
0.428571,0.6,0.277778,0.294118,0.307692,0.806452,2014-07-17,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.612903,2014-07-30,0,0000-00-00,0.44,1
0.431746,0.6,0.388889,0.352941,0.692308,0.903226,2014-09-12,0,0000-00-00,0.83871,2014-07-28,0,0000-00-00,0,0000-00-00,0,2014-09-16,0.72,2
0.434921,0.6,0.333333,0.352941,0.307692,0.83871,2014-07-17,0,0000-00-00,0,0000-00-00,0.580645,2014-07-23,0,0000-00-00,0,0000-00-00,0.64,1
0.438095,0.6,1,1,0.846154,0.967742,2014-06-13,0.83871,2014-07-24,0.967742,2014-09-03,1,2014-06-27,0.870968,2014-09-09,0,2014-05-06,0.8,0
0.44127,0.6,1,1,0.923077,1,2014-06-11,1,2014-06-12,0.903226,2014-09-03,1,2014-06-27,1,2014-06-13,0,2014-03-18,0.84,0
0.444444,0.6,0.333333,0.352941,0.384615,0.677419,2014-07-17,0,0000-00-00,0,0000-00-00,0.774194,2014-09-09,0,0000-00-00,0,0000-00-00,0.2,1
0.447619,0.6,0.111111,0.117647,0.461538,0.774194,2014-09-12,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.48,1
0.450794,0.6,0.111111,0.117647,0.153846,0.645161,2014-07-17,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.16,1
0.453968,0.6,1,1,1,1,2014-07-17,1,2014-09-15,1,2014-06-17,1,2014-06-10,1,2014-07-01,0,2014-03-25,1,0
0.457143,0.6,0.944444,1,0.692308,0.903226,2014-06-12,0.903226,2014-07-24,0.83871,2014-07-08,0.967742,2014-06-10,0.741935,2014-07-30,0,0000-00-00,0.72,0
0.460317,0.6,0.555556,0.529412,0.307692,0.806452,2014-07-17,0,0000-00-00,0,0000-00-00,0.709677,2014-09-16,0.580645,2014-09-11,0,2014-05-27,0.6,1
0.463492,0.6,0.333333,0.352941,0.384615,0.709677,2014-09-12,0,0000-00-00,0,0000-00-00,0.741935,2014-06-30,0,0000-00-00,0,0000-00-00,0.44,1
0.466667,0.6,0.333333,0.294118,0.692308,0.967742,2014-07-17,0,0000-00-00,0,0000-00-00,0,0000-00-00,0.774194,2014-07-29,0,2014-05-27,0.56,1
0.469841,0.6,0.166667,0.117647,0.692308,0.870968,2014-07-17,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2014-05-22,0.6,1
0.473016,0.6,0.722222,0.764706,0.615385,0.83871,2014-07-17,0,0000-00-00,0.806452,2014-09-03,0.870968,2014-09-09,0.806452,2014-07-02,0,0000-00-00,0.52,2
0.47619,0.6,0.777778,0.823529,0.615385,0.903226,2014-06-11,0.741935,2014-06-12,0.774194,2014-09-03,0.967742,2014-09-09,0,0000-00-00,0,0000-00-00,0.64,0
0.479365,0.6,0.833333,0.823529,0.769231,0.967742,2014-07-09,0.806452,2014-07-10,0.806452,2014-06-17,0.967742,2014-09-09,0,0000-00-00,0,2014-04-15,0.84,0
